Key,az,bg,en,hy,ka,pl,ro,ru,sr
polling_station_form_wizard.warning_modal.attachment.description,Bu əməliyyatı dəyişə bilməzsiniz. Silinmiş qeydi bərpa etmək mümkün deyil,"Това действие не може да бъде отменено. Веднъж изтрит, файлът не може да бъде възстановен.","This action cannot be undone. Once deleted, a media file cannot be retrieved.",Այս գործողությունը  չեք կարող փոխել: Ջնջված նշումը հնարավոր չէ վերականգնել:,ამ მოქმედებას ვეღარ შეცვლით. წაშლილი მედია ფაილის აღდგენა შესაძლებელი არ არის,Ta akcja nie może być cofnięta. Usunięte media nie mogą zostać przywrócone.,"Această acțiune este ireversibilă. Odată șters, un fișier media nu poate fi recuperat.",Это действие невозможно изменить. Восстановление удаленного медиафайла невозможно. ,Ova brisanje je trajno. Kada je medijska datoteka izbrisana ne može se povratiti.
polling_station_form_wizard.warning_modal.attachment.actions.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել ,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
polling_station_form_wizard.warning_modal.attachment.actions.clear,Silmək,Изтрий,Delete,Ջնջել ,წაშლა,Usuń,Șterge,Удалить,Izbriši
polling_station_form_wizard.warning_modal.unsaved_answer.title,Sualdakı dəyişikliklərin yadda saxlanılması,Запазете промените на въпроса,Save changes to question,Պահպանել հարցերին վերաբերող փոփոխությունները ,კითხვაზე ცვლილებების შენახვა,Zapisz zmiany w pytaniu,Salvează modificările pe întrebare,Сохранить изменения в вопросах,Sačuvaj promene u pitanju.
polling_station_form_wizard.warning_modal.unsaved_answer.description,Bu sualda yadda saxlanmamış dəyişiklikləriniz var. Sualı tərk etməzdən əvvəl dəyişiklikləri yadda saxlamaq istəyirsiniz?,"Имате незаписани промени по този въпрос. Искате ли да запазите промените си, преди да напуснете?",You have unsaved changes on this question. Do you want to save your changes before leaving?,Այս հարցի հետ կապված դուք ունեք չպահպանված փոփոխություններ:  Ցանկանո՞ւմ եք պահպանել փոփոխությունները նախքան դուրս գալը: ,"თქვენ ამ კითხვაზე გაქვთ შეუნახავი ცვლილებები. გსურთ კითხვის დატოვებამდე ცვლილებების შენახვა?
",Masz niezapisane zmiany w tym pytaniu. Czy chcesz zapisać zmiany przed wyjściem?,Ai modificări nesalvate pe această întrebare. Vrei să salvezi modificările înainte de a părăsi pagina?,У вас есть несохраненные изменения по этому вопросу. Хотите сохранить изменения перед выходом? ,Imate nesačuvane promene u ovom pitanju. Da li želiš da sačuvaš svoje promene pre odlaska?
polling_station_form_wizard.warning_modal.unsaved_answer.actions.cancel,Təkzib etmək,Отхвърлете,Discard,Հրաժարվել ,უარყოფა,Odrzucenie,Renunță,Нет ,Odbacite
polling_station_form_wizard.warning_modal.unsaved_answer.actions.save,Dəyişikliklərin yadda saxlanılması,Запазете промените,Save changes,Պահպանել փոփոխությունները ,ცვლილებების შენახვა,Zapisz zmiany,Salvează modificările,Сохранить изменения,Sačuvaj promene.
polling_station_form_wizard.error,Sual ilə bağlı məlumatlar yüklənərkən xəta baş verdi!,Грешка при зареждане на данните за въпроса!,Error while loading question data!,Հարցի տվյալները ներբեռնելիս արձանագրվել է սխալ: ,"დაფიქსირდა შეცდომა კითხვის მონაცემების ჩატვირთვისას!
",Błąd podczas ładowania danych pytania!,Eroare la încărcarea datelor întrebării!,Обнаружена ошибка при загрузке данных вопроса!,Greška pri učitavanju pitanja!
manage_my_polling_stations.empty.title,Hələlik heç bir seçki məntəqəsinə baş çəkilməyib,Още няма посетени изборни секции,No visited polling stations yet,Առայժմ չի ընտրվել որևէ ընտրատեղամաս ,ჯერ არცერთი საარჩევნო უბანი არ არის არჩეული,Brak odwiedzonych komisji wyborczych,Momentan nu ai nicio secție de votare vizitată,Ни один избирательный участок пока не выбран,Nema posećenih biračkih mesta
manage_my_polling_stations.general_text,Mənim seçki məntəqələrimin idarə edilməsi,Управление на моите изборни секции,Manage my polling stations,Իմ ընտրատեղամասերի կառավարում ,"ჩემი საარჩევნო უბნების მართვა
",Zarządzanie moimi komisjami wyborczymi,Vezi secțiile de votare vizitate,Управление моими избирательными участками,Upravljanje mojim biračkim mestima
